ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
_b01-dubbo-cluster-3.2.8 195C.odem;0;195;45;0;55 ms;494MB;false
_b01-jmetal-component-6.2.2 132C.odem;0;132;43;0;7 ms;491MB;false
_b01-elasticsearch-core-9.1.0 63C.odem;0;63;4;0;2 ms;489MB;false
_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;4;0;2 ms;489MB;false
_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;5;0;2 ms;488MB;false
_b01-lucene-codecs-11.0.0 208C.odem;0;207;9;0;11 ms;486MB;false
_b01-aep-core-0.10.0 162C.odem;0;162;17;0;6 ms;484MB;false
_b01-joda-money-2.0.3 29C.odem;0;28;3;0;1 ms;482MB;false
_b01-log4j-iostreams-2.21.1 29C.odem;0;26;3;0;1 ms;482MB;false
_b01-joda-time-2.14.0 248C.odem;0;248;7;0;12 ms;501MB;false
_b01-log4j-jpa-2.21.1 26C.odem;0;23;3;0;1 ms;499MB;false
_b01-junit-platform-engine-1.10.1 136C.odem;0;135;10;0;4 ms;499MB;false
_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;4;0;1 ms;497MB;false
_b01-moquette-broker-0.19 204C.odem;0;204;12;0;6 ms;496MB;false
_b01-jgit-lfs-6.8.0 41C.odem;0;41;4;0;1 ms;494MB;false
_b01-javaGeom-0.11.3 159C.odem;0;159;20;0;6 ms;493MB;false
_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;9;0;3 ms;491MB;false
_b01-gson-2.10.1 212C.odem;0;212;9;0;6 ms;489MB;false
_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;4;0;5 ms;486MB;false
_b01-jgit-http-6.8.0 61C.odem;0;61;3;0;2 ms;485MB;false
_b01-log4j-api-2.21.1 189C.odem;0;181;8;0;5 ms;483MB;false
_b01-jgit-ssh-6.8.0 100C.odem;0;98;7;0;2 ms;482MB;false
_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;7;0;2 ms;480MB;false
_b01-javacc-7.0.14 190C.odem;0;190;6;0;6 ms;478MB;false
_b01-elasticsearch-native-9.1.0 66C.odem;0;66;5;0;1 ms;476MB;false
_b01-jgit-pgm-6.8.0 121C.odem;0;121;5;0;3 ms;475MB;false
_b01-lucene-highlighter-11.0.0 167C.odem;0;166;5;0;5 ms;474MB;false
_b01-scribejava-apis-8.3.4 175C.odem;0;175;16;0;4 ms;472MB;false
_b01-jmetal-auto-6.2.2 69C.odem;0;69;7;0;1 ms;471MB;false
_b01-jmetal-lab-6.2.2 54C.odem;0;54;13;0;1 ms;470MB;false
_b01-lucene-luke-11.0.0 278C.odem;0;277;25;0;14 ms;468MB;false
_b01-joda-money-marlon 26C.odem;0;26;2;0;64 ms;242MB;false
