comparison,n,statistic,p_value,median_difference,effect_size_rank_biserial,p_adjusted,significant_0_05
MQ vs MDL,21,230,7e-5,0.03793,0.991,6e-4,TRUE
MQ vs CRG-25,21,231,6e-5,0.07618,1,6e-4,TRUE
MQ vs CRG-50,21,231,6e-5,0.07041,1,6e-4,TRUE
MQ vs CRG-75,21,231,6e-5,0.06892,1,6e-4,TRUE
MDL vs CRG-25,21,228,9e-5,0.04467,0.974,6e-4,TRUE
MDL vs CRG-50,21,226,1.2e-4,0.0381,0.957,6e-4,TRUE
MDL vs CRG-75,21,224,1.6e-4,0.03632,0.939,6.4e-4,TRUE
CRG-25 vs CRG-50,21,78,0.31346,0,-0.257,0.31346,FALSE
CRG-25 vs CRG-75,21,47,0.03037,-0.00971,-0.552,0.09111,FALSE
CRG-50 vs CRG-75,21,70,0.11377,-0.00484,-0.394,0.22754,FALSE
