Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
0;_b01-joda-money-marlon 26C;0;26;13;2.6626;40;241;false
1;_b01-joda-money-marlon 26C;0;26;12;2.6626;21;237;false
2;_b01-joda-money-marlon 26C;0;26;11;2.6626;10;236;false
3;_b01-joda-money-marlon 26C;0;26;14;2.6626;10;235;false
4;_b01-joda-money-marlon 26C;0;26;12;2.6626;11;235;false
5;_b01-joda-money-marlon 26C;0;26;13;2.6626;13;234;false
6;_b01-joda-money-marlon 26C;0;26;11;2.6626;11;234;false
7;_b01-joda-money-marlon 26C;0;26;15;2.6626;8;233;false
8;_b01-joda-money-marlon 26C;0;26;15;2.6626;8;232;false
9;_b01-joda-money-marlon 26C;0;26;12;2.6626;9;232;false
10;_b01-joda-money-marlon 26C;0;26;16;2.6626;8;231;false
11;_b01-joda-money-marlon 26C;0;26;9;2.6675;9;231;false
12;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;230;false
13;_b01-joda-money-marlon 26C;0;26;9;2.7440;10;230;false
14;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;229;false
15;_b01-joda-money-marlon 26C;0;26;12;2.6626;7;228;false
16;_b01-joda-money-marlon 26C;0;26;12;2.6626;7;228;false
17;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;227;false
18;_b01-joda-money-marlon 26C;0;26;13;2.6626;8;226;false
19;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;226;false
20;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;225;false
21;_b01-joda-money-marlon 26C;0;26;14;2.6626;8;224;false
22;_b01-joda-money-marlon 26C;0;26;13;2.6626;7;224;false
23;_b01-joda-money-marlon 26C;0;26;10;2.6626;7;223;false
24;_b01-joda-money-marlon 26C;0;26;12;2.6626;7;223;false
25;_b01-joda-money-marlon 26C;0;26;15;2.6626;8;222;false
26;_b01-joda-money-marlon 26C;0;26;15;2.6626;10;222;false
27;_b01-joda-money-marlon 26C;0;26;15;2.6626;8;221;false
28;_b01-joda-money-marlon 26C;0;26;10;2.6626;8;220;false
29;_b01-joda-money-marlon 26C;0;26;12;2.6626;8;220;false
